ID,ID_Tipo_de_impressora,Ultima_manutencao,Data_de_aquisicao,Disponibilidade,Em_uso,Possui_defeito
60,HP M1212nf,28/1/2024,1/5/2021,Sim,Não,Não
61,Kyocera M2040dn,12/2/2024,25/2/2023,Não,Sim,Não
62,Brother L5652dn,18/2/2024,23/12/2023,Não,Sim,Não
63,Kyocera M2040dn,20/6/2024,9/12/2021,Sim,Não,Não
64,HP P1606dn,22/8/2024,24/7/2020,Sim,Não,Não
65,Brother L5652dn,15/11/2024,20/1/2020,Sim,Não,Não
66,Brother L5652dn,10/8/2024,24/4/2020,Não,Sim,Não
67,HP MFP M225dw,17/3/2024,17/1/2023,Sim,Não,Não
68,HP M1212nf,23/6/2024,4/9/2021,Sim,Não,Não
69,HP M1212nf,21/12/2024,25/3/2023,Não,Sim,Não
70,Brother 7065dn,23/6/2024,21/12/2022,Sim,Não,Não
71,HP P2055dn,8/10/2024,5/9/2020,Não,Sim,Não
72,Brother 7065dn,18/8/2024,27/10/2022,Sim,Não,Não
73,Brother 7065dn,2/9/2024,2/2/2021,Não,Sim,Não
74,Brother 7065dn,21/2/2024,25/12/2022,Sim,Não,Não
75,Brother L5652dn,1/8/2024,1/3/2020,Sim,Não,Não
76,HP MFP M225dw,7/12/2024,16/3/2021,Sim,Não,Não
77,HP P2055dn,7/10/2024,6/9/2020,Sim,Não,Não
78,HP Pro M201dw,7/4/2024,18/7/2023,Sim,Não,Não
79,HP 400M425dn,14/10/2024,23/3/2022,Sim,Não,Não
80,HP Pro M201dw,10/11/2024,2/7/2022,Sim,Não,Não
81,HP Pro M201dw,25/3/2024,21/9/2023,Não,Não,Sim
82,HP 1015,26/12/2024,3/12/2020,Sim,Não,Não
83,HP 1015,22/11/2024,20/3/2020,Sim,Não,Não
84,HP 1015,25/9/2024,26/6/2022,Não,Não,Sim
85,HP M1212nf,1/11/2024,5/12/2021,Não,Sim,Não
86,HP P2055dn,13/10/2024,13/5/2023,Não,Sim,Não
87,Brother 8157dn,16/8/2024,2/5/2022,Sim,Não,Não
88,HP P2055dn,11/7/2024,22/7/2023,Sim,Não,Não
89,Brother 8952dw,2/2/2024,15/6/2021,Não,Sim,Não
90,Brother 8952dw,17/11/2024,13/7/2020,Sim,Não,Não
91,HP P2055dn,14/10/2024,22/1/2021,Sim,Não,Não
92,Brother L5652dn,3/10/2024,9/1/2023,Não,Não,Sim
93,Kyocera M2040dn,19/10/2024,12/1/2020,Sim,Não,Não
94,HP P2055dn,1/12/2024,16/11/2023,Sim,Não,Não
95,Brother L5652dn,20/11/2024,15/10/2021,Sim,Não,Não
96,HP Pro M127fn,22/1/2024,20/10/2020,Não,Sim,Sim
97,HP P2055dn,8/10/2024,28/12/2023,Não,Sim,Não
98,Brother L5652dn,10/6/2024,27/12/2021,Sim,Não,Não
99,Brother 8157dn,7/8/2024,4/7/2021,Sim,Não,Não
100,HP P1606dn,3/1/2024,26/1/2021,Sim,Não,Não
101,HP Pro M201dw,23/8/2024,26/6/2023,Sim,Não,Não
102,HP 1015,7/7/2024,16/9/2022,Sim,Não,Não
103,Brother 8157dn,18/12/2024,23/11/2020,Não,Sim,Não
104,HP 1015,27/10/2024,6/3/2023,Sim,Não,Não
105,HP 1015,21/9/2024,19/11/2022,Sim,Não,Não
106,Brother 8952dw,2/1/2024,5/6/2022,Sim,Não,Não
107,HP 1015,13/6/2024,18/5/2022,Não,Não,Sim
108,Brother L5652dn,11/9/2024,27/3/2021,Sim,Não,Não
109,Brother 8157dn,22/12/2024,11/12/2020,Não,Sim,Não
110,Kyocera M2040dn,9/5/2024,23/5/2021,Não,Sim,Não
111,HP P2055dn,21/9/2024,20/4/2021,Sim,Não,Não
112,HP P2055dn,10/11/2024,17/11/2021,Sim,Não,Não
113,Brother L5652dn,16/7/2024,3/7/2023,Sim,Não,Não
114,Brother L5652dn,9/10/2024,17/7/2021,Sim,Não,Não
115,Brother 8952dw,3/10/2024,3/10/2021,Sim,Não,Não
116,Brother L5652dn,21/8/2024,6/12/2023,Sim,Não,Não
117,HP Pro M127fn,13/11/2024,9/7/2023,Não,Sim,Não
118,Brother 8157dn,19/6/2024,2/4/2020,Sim,Não,Não
119,HP 1015,8/9/2024,21/10/2021,Não,Sim,Não
120,Brother 7065dn,9/12/2024,13/7/2022,Sim,Não,Não
121,HP P2055dn,7/5/2024,5/10/2022,Sim,Não,Não
122,Brother 7065dn,27/2/2024,22/2/2022,Sim,Não,Não
123,Kyocera M2040dn,13/1/2024,19/5/2020,Sim,Não,Não
124,Brother 8952dw,19/6/2024,5/5/2020,Sim,Não,Não
125,Brother 8952dw,8/6/2024,7/5/2021,Sim,Não,Não
126,HP 400M425dn,24/5/2024,16/4/2020,Sim,Não,Não
127,HP M1212nf,9/2/2024,4/3/2020,Sim,Não,Não
128,HP P2055dn,28/6/2024,9/9/2022,Sim,Não,Não
129,Brother 8157dn,4/11/2024,15/6/2021,Sim,Não,Não
130,Brother L5652dn,24/8/2024,14/8/2021,Não,Sim,Não
131,Kyocera M2040dn,28/11/2024,19/10/2022,Sim,Não,Não
132,HP M1212nf,16/5/2024,22/9/2021,Sim,Não,Não
133,Brother 8157dn,13/2/2024,13/2/2020,Não,Sim,Não
134,HP M1212nf,24/5/2024,5/9/2021,Sim,Não,Não
135,Brother 8952dw,21/3/2024,13/5/2021,Não,Não,Sim
136,HP MFP M225dw,3/4/2024,22/2/2020,Sim,Não,Não
137,Brother L5652dn,1/12/2024,12/1/2023,Não,Não,Sim
138,Brother 7065dn,27/6/2024,16/4/2023,Não,Sim,Sim
139,Brother 8157dn,3/12/2024,8/9/2022,Sim,Não,Não
140,Brother 8952dw,15/11/2024,24/2/2022,Sim,Não,Não
141,HP M1212nf,12/4/2024,16/1/2023,Não,Sim,Não
142,Kyocera M2040dn,16/2/2024,13/12/2022,Sim,Não,Não
143,HP MFP M225dw,17/6/2024,12/2/2022,Não,Não,Sim
144,HP P2055dn,7/11/2024,26/2/2020,Sim,Não,Não
145,Brother 8157dn,28/3/2024,10/7/2020,Não,Não,Sim
146,Brother 7065dn,11/2/2024,2/11/2020,Não,Não,Sim
147,Brother 8952dw,5/6/2024,16/7/2020,Não,Não,Sim
148,Kyocera M2040dn,6/5/2024,8/7/2020,Sim,Não,Não
149,HP P2055dn,16/5/2024,17/10/2021,Sim,Não,Não
150,Brother 7065dn,24/4/2024,7/10/2022,Não,Sim,Não
151,Brother 8952dw,22/5/2024,23/11/2021,Sim,Não,Não
152,HP Pro M127fn,6/11/2024,24/1/2020,Sim,Não,Não
153,Brother 7065dn,21/4/2024,2/11/2021,Sim,Não,Não
154,HP Pro M127fn,8/7/2024,28/11/2022,Sim,Não,Não
155,HP M1212nf,1/10/2024,28/3/2022,Sim,Não,Não
156,HP P2055dn,14/10/2024,18/11/2021,Não,Não,Sim
157,HP Pro M201dw,5/7/2024,14/5/2020,Sim,Não,Não
158,HP 1015,19/8/2024,13/1/2021,Sim,Não,Não
159,Brother 7065dn,7/8/2024,22/8/2023,Não,Sim,Não
160,Kyocera M2040dn,25/10/2024,17/7/2020,Não,Não,Sim
161,Brother L5652dn,26/2/2024,8/3/2021,Sim,Não,Não
162,Brother 8157dn,27/12/2024,3/12/2021,Sim,Não,Não
163,HP M1212nf,11/6/2024,23/2/2022,Não,Sim,Não
164,HP 1015,7/11/2024,5/8/2022,Sim,Não,Não
165,Brother 8157dn,5/11/2024,5/3/2022,Sim,Não,Não
166,HP P2055dn,20/4/2024,20/6/2020,Não,Sim,Sim
167,HP P2055dn,16/5/2024,20/7/2022,Não,Sim,Sim
168,HP Pro M127fn,2/7/2024,16/12/2023,Não,Não,Sim
169,Brother 8952dw,11/1/2024,15/3/2022,Sim,Não,Não
170,Brother 8952dw,26/8/2024,9/3/2022,Sim,Não,Não
171,HP 1015,21/9/2024,24/9/2022,Sim,Não,Não
172,Brother 7065dn,12/3/2024,24/8/2021,Não,Sim,Não
173,HP P1606dn,1/6/2024,21/10/2020,Sim,Não,Não
174,HP 1015,19/12/2024,4/8/2022,Sim,Não,Não
175,Brother 8157dn,24/9/2024,25/1/2022,Sim,Não,Não
176,HP M1212nf,8/1/2024,7/10/2021,Sim,Não,Não
177,HP M1212nf,17/4/2024,22/8/2022,Não,Sim,Não
178,Brother 8157dn,14/4/2024,7/5/2022,Sim,Não,Não
179,Brother 7065dn,18/12/2024,16/8/2020,Sim,Não,Não
180,HP P1606dn,25/2/2024,26/3/2022,Sim,Não,Não
181,Brother L5652dn,24/11/2024,13/4/2022,Sim,Não,Não
182,Brother 7065dn,19/12/2024,8/6/2020,Sim,Não,Não
183,HP M1212nf,25/11/2024,12/4/2022,Não,Sim,Não
184,Brother L5652dn,16/4/2024,21/3/2020,Sim,Não,Não
185,Brother 8952dw,18/3/2024,13/10/2022,Sim,Não,Não
186,HP 1015,5/7/2024,13/1/2021,Não,Não,Sim
187,Brother 8157dn,6/4/2024,3/3/2020,Sim,Não,Não
188,HP 1015,17/4/2024,20/10/2022,Sim,Não,Não
189,Kyocera M2040dn,16/9/2024,1/6/2023,Não,Sim,Não
190,Brother 8952dw,9/1/2024,2/4/2020,Não,Sim,Não
191,HP P2055dn,2/3/2024,20/7/2021,Não,Não,Sim
192,Brother 8952dw,9/10/2024,25/3/2020,Sim,Não,Não
193,HP MFP M225dw,7/8/2024,21/10/2022,Sim,Não,Não
194,HP MFP M225dw,24/1/2024,10/5/2023,Não,Não,Sim
195,Brother 8952dw,10/10/2024,15/10/2023,Não,Sim,Não
196,HP P2055dn,9/7/2024,15/6/2022,Não,Sim,Não
197,Brother 8952dw,12/11/2024,2/5/2020,Sim,Não,Não
198,HP P2055dn,18/11/2024,18/6/2022,Não,Sim,Não
199,HP P2055dn,9/7/2024,27/10/2023,Sim,Não,Não
200,Brother 8157dn,10/9/2024,26/9/2020,Sim,Não,Não
201,Brother 8952dw,5/4/2024,25/11/2020,Sim,Não,Não
202,HP MFP M225dw,7/2/2024,19/12/2020,Sim,Não,Não
203,HP P2055dn,13/1/2024,20/9/2022,Sim,Não,Não
204,Kyocera M2040dn,17/6/2024,10/11/2020,Não,Sim,Não
205,Brother 8157dn,10/11/2024,20/7/2023,Sim,Não,Não
206,Brother 8952dw,22/3/2024,15/11/2020,Sim,Não,Não
207,Kyocera M2040dn,27/5/2024,27/12/2023,Sim,Não,Não
208,HP 400M425dn,17/10/2024,13/3/2022,Não,Sim,Não
209,HP P2055dn,8/5/2024,5/5/2022,Sim,Não,Não
210,Brother 7065dn,8/7/2024,17/8/2022,Sim,Não,Não
211,HP P2055dn,3/11/2024,1/1/2020,Sim,Não,Não
212,HP P2055dn,14/2/2024,2/4/2021,Sim,Não,Não
213,HP 1015,16/4/2024,26/4/2020,Sim,Não,Não
214,HP MFP M225dw,7/5/2024,22/2/2021,Sim,Não,Não
215,HP P2055dn,17/3/2024,13/3/2020,Sim,Não,Não
216,HP P1606dn,22/12/2024,14/10/2022,Não,Sim,Não
217,HP MFP M225dw,6/5/2024,21/3/2020,Não,Não,Sim
218,HP Pro M127fn,7/3/2024,28/4/2022,Não,Sim,Não
219,HP P1606dn,20/9/2024,9/3/2021,Não,Sim,Não
220,HP P2055dn,19/9/2024,10/6/2020,Sim,Não,Não
221,Brother 7065dn,25/8/2024,9/6/2020,Sim,Não,Não
222,HP M1212nf,27/12/2024,15/7/2022,Não,Não,Sim
223,Brother 8952dw,23/7/2024,20/6/2022,Sim,Não,Não
224,HP P2055dn,7/1/2024,4/9/2023,Sim,Não,Não
225,HP P1606dn,3/3/2024,17/11/2020,Sim,Não,Não
226,HP P1606dn,19/10/2024,7/1/2021,Não,Sim,Não
227,Brother 7065dn,11/5/2024,15/1/2021,Sim,Não,Não
228,HP M1212nf,8/1/2024,22/3/2021,Sim,Não,Não
229,Brother 7065dn,1/9/2024,28/11/2023,Sim,Não,Não
230,Brother 8157dn,20/1/2024,10/1/2021,Sim,Não,Não
231,Kyocera M2040dn,2/3/2024,12/4/2022,Sim,Não,Não
232,Kyocera M2040dn,7/4/2024,18/6/2023,Não,Não,Sim
233,HP Pro M127fn,27/5/2024,28/9/2020,Sim,Não,Não
234,HP 1015,19/1/2024,6/10/2021,Não,Sim,Não
235,HP MFP M225dw,1/1/2024,28/2/2023,Não,Sim,Não
236,HP M1212nf,15/8/2024,14/12/2020,Sim,Não,Não
237,Brother 8157dn,13/11/2024,12/10/2021,Não,Sim,Não
238,HP P2055dn,13/10/2024,23/7/2020,Não,Sim,Não
239,HP P2055dn,16/1/2024,18/12/2020,Sim,Não,Não
240,Brother 7065dn,9/8/2024,14/11/2023,Não,Sim,Sim
241,Brother L5652dn,8/9/2024,8/4/2023,Sim,Não,Não
242,Brother 7065dn,24/2/2024,7/8/2023,Sim,Não,Não
243,Brother 7065dn,11/3/2024,1/4/2022,Sim,Não,Não
244,HP M1212nf,25/12/2024,1/8/2023,Sim,Não,Não
245,Brother 7065dn,3/10/2024,12/11/2023,Sim,Não,Não
246,Brother 7065dn,21/9/2024,23/10/2020,Não,Sim,Não
247,HP 1015,22/8/2024,28/2/2022,Sim,Não,Não
248,Brother L5652dn,9/8/2024,18/10/2021,Não,Sim,Não
249,HP Pro M201dw,13/3/2024,25/5/2021,Sim,Não,Não
250,HP M1212nf,25/9/2024,22/8/2021,Sim,Não,Não
251,Kyocera M2040dn,28/6/2024,24/7/2022,Não,Sim,Não
252,HP M1212nf,26/11/2024,1/5/2023,Sim,Não,Não
253,HP Pro M201dw,8/1/2024,25/7/2021,Não,Sim,Não
254,HP P2055dn,3/8/2024,27/9/2021,Sim,Não,Não
255,HP M1212nf,6/1/2024,27/7/2021,Sim,Não,Não
256,HP 400M425dn,10/10/2024,14/8/2022,Sim,Não,Não
257,HP 1015,22/11/2024,19/1/2020,Sim,Não,Não
258,Kyocera M2040dn,26/4/2024,7/12/2020,Sim,Não,Não
259,HP M1212nf,25/8/2024,27/11/2023,Sim,Não,Não
260,HP Pro M201dw,15/4/2024,2/6/2023,Não,Sim,Não
261,HP M1212nf,9/4/2024,24/7/2020,Sim,Não,Não
262,HP Pro M127fn,22/9/2024,20/7/2021,Não,Sim,Não
263,Kyocera M2040dn,20/2/2024,15/8/2022,Sim,Não,Não
264,HP M1212nf,14/5/2024,23/7/2023,Sim,Não,Não
265,Brother 7065dn,7/10/2024,6/1/2020,Sim,Não,Não
266,HP 400M425dn,16/4/2024,23/4/2020,Não,Não,Sim
267,HP Pro M127fn,19/5/2024,4/8/2023,Sim,Não,Não
268,HP Pro M127fn,18/8/2024,26/11/2021,Sim,Não,Não
269,HP P1606dn,6/5/2024,13/1/2021,Sim,Não,Não
270,Brother 7065dn,20/6/2024,3/1/2022,Não,Sim,Não
271,Brother 7065dn,18/5/2024,13/1/2023,Sim,Não,Não
272,HP 400M425dn,23/8/2024,1/12/2020,Não,Não,Sim
273,HP P2055dn,11/11/2024,11/7/2021,Não,Sim,Não
274,HP 1015,12/6/2024,13/5/2021,Sim,Não,Não
275,HP P1606dn,27/5/2024,11/8/2021,Sim,Não,Não
276,Brother 8952dw,27/9/2024,20/1/2022,Não,Sim,Não
277,HP Pro M201dw,18/11/2024,7/3/2022,Não,Sim,Não
278,Brother 7065dn,19/12/2024,19/4/2021,Não,Sim,Não
279,HP Pro M127fn,9/6/2024,7/9/2023,Sim,Não,Não
280,HP P1606dn,9/7/2024,15/1/2022,Sim,Não,Não
281,HP P2055dn,17/8/2024,22/12/2023,Sim,Não,Não
282,Brother 7065dn,12/1/2024,26/8/2021,Sim,Não,Não
283,HP M1212nf,26/9/2024,19/9/2022,Sim,Não,Não
284,HP M1212nf,9/7/2024,25/4/2023,Não,Não,Sim
285,HP MFP M225dw,11/8/2024,19/6/2021,Sim,Não,Não
286,Kyocera M2040dn,13/3/2024,28/7/2023,Sim,Não,Não
287,HP M1212nf,7/6/2024,1/9/2020,Sim,Não,Não
288,HP P2055dn,3/8/2024,5/12/2022,Sim,Não,Não
289,HP P1606dn,13/2/2024,10/4/2022,Sim,Não,Não
290,Brother 8157dn,4/8/2024,5/6/2022,Sim,Não,Não
291,Brother 8157dn,9/4/2024,10/12/2021,Sim,Não,Não
292,HP 1015,18/2/2024,2/12/2021,Sim,Não,Não
293,HP M1212nf,8/11/2024,17/2/2023,Sim,Não,Não
294,HP 400M425dn,21/6/2024,19/5/2021,Sim,Não,Não
295,HP M1212nf,7/10/2024,13/12/2021,Não,Não,Sim
296,HP P1606dn,14/5/2024,15/11/2020,Sim,Não,Não
297,Brother 7065dn,1/11/2024,25/1/2023,Sim,Não,Não
298,HP P2055dn,3/11/2024,1/11/2023,Sim,Não,Não
299,HP M1212nf,4/11/2024,10/6/2021,Sim,Não,Não
300,Brother 8157dn,6/2/2024,5/8/2022,Sim,Não,Não
301,HP M1212nf,4/4/2024,28/12/2020,Sim,Não,Não
302,HP 1015,11/1/2024,20/5/2023,Não,Sim,Não
303,HP 1015,27/3/2024,27/7/2020,Não,Sim,Não
304,HP Pro M127fn,18/4/2024,24/8/2020,Sim,Não,Não
305,HP P2055dn,16/11/2024,17/10/2023,Sim,Não,Não
306,HP P1606dn,11/9/2024,8/7/2023,Sim,Não,Não
307,Kyocera M2040dn,9/4/2024,4/5/2022,Sim,Não,Não
308,HP P2055dn,18/4/2024,5/2/2023,Sim,Não,Não
309,HP P2055dn,21/6/2024,12/3/2022,Sim,Não,Não
310,HP Pro M201dw,8/7/2024,24/4/2021,Sim,Não,Não
311,HP P2055dn,14/2/2024,14/1/2023,Sim,Não,Não
312,HP Pro M201dw,24/7/2024,19/12/2021,Sim,Não,Não
313,HP P2055dn,22/3/2024,4/2/2020,Sim,Não,Não
314,HP P2055dn,3/2/2024,23/11/2023,Sim,Não,Não
315,HP M1212nf,19/7/2024,20/4/2021,Não,Sim,Sim
316,HP P2055dn,2/8/2024,13/7/2022,Não,Não,Sim
317,HP MFP M225dw,27/7/2024,1/7/2020,Sim,Não,Não
318,Brother 8157dn,23/5/2024,22/4/2021,Sim,Não,Não
319,Brother 7065dn,14/8/2024,28/1/2022,Não,Sim,Não
320,Brother 8952dw,28/8/2024,10/8/2020,Sim,Não,Não
321,Brother 7065dn,15/9/2024,28/5/2023,Sim,Não,Não
322,Kyocera M2040dn,15/3/2024,8/11/2020,Sim,Não,Não
323,HP MFP M225dw,8/4/2024,18/8/2021,Não,Sim,Não
324,HP Pro M201dw,25/12/2024,25/4/2021,Sim,Não,Não
325,HP 1015,15/2/2024,12/4/2020,Sim,Não,Não
326,HP M1212nf,18/11/2024,6/3/2022,Sim,Não,Não
327,Brother 7065dn,3/3/2024,25/6/2021,Sim,Não,Não
328,HP P1606dn,25/9/2024,3/9/2023,Sim,Não,Não
329,HP M1212nf,16/8/2024,3/12/2020,Sim,Não,Não
330,HP M1212nf,19/9/2024,12/7/2023,Sim,Não,Não
331,HP 400M425dn,3/12/2024,13/2/2020,Sim,Não,Não
332,HP Pro M127fn,25/9/2024,21/12/2021,Sim,Não,Não
333,HP Pro M201dw,28/2/2024,24/11/2020,Sim,Não,Não
334,HP 1015,3/10/2024,18/1/2023,Sim,Não,Não
335,HP 1015,21/2/2024,28/4/2023,Não,Sim,Não
336,HP M1212nf,14/10/2024,20/2/2020,Sim,Não,Não
337,HP M1212nf,22/9/2024,12/7/2020,Sim,Não,Não
338,Brother L5652dn,24/12/2024,3/12/2021,Sim,Não,Não
339,HP 1015,6/9/2024,8/10/2023,Sim,Não,Não
340,HP P2055dn,21/8/2024,9/1/2021,Não,Sim,Não
341,HP P2055dn,24/1/2024,9/1/2023,Não,Não,Sim
342,HP P1606dn,4/7/2024,22/3/2022,Sim,Não,Não
343,HP P2055dn,9/3/2024,27/8/2021,Sim,Não,Não
344,Brother 8157dn,3/9/2024,5/9/2022,Não,Não,Sim
345,HP MFP M225dw,24/7/2024,7/6/2020,Sim,Não,Não
346,Brother 7065dn,15/2/2024,2/12/2023,Não,Não,Sim
347,HP Pro M127fn,12/6/2024,9/6/2022,Não,Sim,Não
348,HP Pro M127fn,5/2/2024,17/12/2020,Não,Sim,Não
349,Brother 8157dn,9/11/2024,16/3/2022,Sim,Não,Não
350,Brother 7065dn,1/12/2024,1/5/2020,Sim,Não,Não
351,Brother L5652dn,27/6/2024,24/11/2021,Sim,Não,Não
352,HP P2055dn,16/6/2024,9/3/2022,Sim,Não,Não
353,HP 1015,28/11/2024,4/11/2021,Sim,Não,Não
354,HP P2055dn,5/10/2024,27/5/2020,Sim,Não,Não
355,Brother 8157dn,23/12/2024,6/8/2022,Sim,Não,Não
356,Brother L5652dn,20/11/2024,7/5/2020,Sim,Não,Não
357,Brother L5652dn,25/11/2024,24/5/2022,Sim,Não,Não
358,HP Pro M127fn,27/5/2024,7/5/2021,Não,Sim,Não
359,HP P2055dn,12/1/2024,26/12/2022,Sim,Não,Não
360,Brother L5652dn,28/12/2024,4/4/2022,Sim,Não,Não
361,HP M1212nf,27/6/2024,12/6/2021,Não,Sim,Não
362,HP Pro M127fn,27/3/2024,16/7/2021,Não,Não,Sim
363,Brother 8952dw,3/5/2024,11/4/2020,Sim,Não,Não
364,HP MFP M225dw,11/4/2024,26/6/2021,Não,Não,Sim
365,HP 1015,28/6/2024,1/10/2022,Sim,Não,Não
366,Brother 8157dn,16/5/2024,14/5/2021,Sim,Não,Não
367,Brother 8157dn,2/3/2024,6/2/2021,Sim,Não,Não
368,Kyocera M2040dn,3/3/2024,22/1/2021,Sim,Não,Não
369,Kyocera M2040dn,26/3/2024,16/3/2020,Sim,Não,Não
370,HP MFP M225dw,13/9/2024,6/4/2021,Sim,Não,Não
371,Brother L5652dn,15/9/2024,7/6/2023,Sim,Não,Não
372,HP M1212nf,13/6/2024,23/7/2023,Sim,Não,Não
373,Brother 8157dn,20/6/2024,22/6/2021,Sim,Não,Não
374,HP P2055dn,21/8/2024,26/4/2023,Sim,Não,Não
375,HP M1212nf,2/11/2024,19/4/2021,Sim,Não,Não
376,Brother 8952dw,11/10/2024,3/11/2020,Sim,Não,Não
377,HP Pro M201dw,9/2/2024,11/9/2023,Sim,Não,Não
378,Brother 7065dn,10/2/2024,4/8/2021,Não,Sim,Não
379,Brother 8157dn,14/1/2024,19/6/2021,Sim,Não,Não
380,Brother 8157dn,5/8/2024,3/2/2021,Sim,Não,Não
381,Brother 8952dw,14/5/2024,8/9/2023,Não,Não,Sim
382,HP P2055dn,27/8/2024,4/11/2023,Sim,Não,Não
383,HP 1015,23/4/2024,28/7/2022,Sim,Não,Não
384,HP 1015,28/1/2024,5/5/2022,Sim,Não,Não
385,HP P2055dn,13/2/2024,21/3/2020,Sim,Não,Não
386,HP P1606dn,18/6/2024,18/5/2020,Sim,Não,Não
387,HP P2055dn,13/12/2024,27/6/2023,Sim,Não,Não
388,HP 400M425dn,21/3/2024,1/4/2021,Sim,Não,Não
389,HP P2055dn,9/7/2024,18/1/2022,Não,Sim,Não
390,HP Pro M127fn,1/6/2024,21/6/2023,Sim,Não,Não
391,Brother 8952dw,4/9/2024,11/11/2023,Sim,Não,Não
392,Kyocera M2040dn,26/7/2024,25/8/2022,Não,Sim,Sim
393,HP M1212nf,12/12/2024,3/8/2023,Não,Sim,Não
394,HP M1212nf,23/8/2024,24/11/2023,Não,Sim,Não
395,HP 400M425dn,14/6/2024,1/8/2023,Sim,Não,Não
396,HP 1015,23/11/2024,6/4/2023,Não,Sim,Não
397,HP Pro M201dw,21/10/2024,13/10/2022,Sim,Não,Não
398,HP P2055dn,3/4/2024,28/8/2023,Sim,Não,Não
399,Brother L5652dn,13/8/2024,6/12/2020,Sim,Não,Não
