ID,ID_Cliente,ID_Tipo_de_impressora,Duracao_em_meses,Valor_Total
83,201,Kyocera M2040dn,3,1500
84,6209,HP 400M425dn,2,2000
85,5173,HP P1606dn,3,750
86,1853,HP P2055dn,2,1000.16
87,7673,Brother 7065dn,2,1998.5
88,1158,HP P1606dn,1,250
89,4926,HP P2055dn,3,1500.24
90,9401,Brother 7065dn,3,2997.75
91,2887,Kyocera M2040dn,2,1000
92,615,Brother 7065dn,3,2997.75
93,3175,Brother L5652dn,2,19992.1
94,7008,HP P2055dn,3,1500.24
95,9065,HP P2055dn,3,1500.24
96,6597,HP M1212nf,1,997.63
97,2079,HP Pro M201dw,3,750
98,8315,Brother L5652dn,1,9996.05
99,6575,Brother 8952dw,1,1004.74
100,8659,HP Pro M201dw,3,750
101,7640,Brother 8952dw,1,1004.74
102,2980,Brother 8952dw,3,3014.2200000000003
103,3464,HP Pro M201dw,3,750
104,678,HP Pro M127fn,3,3012.45
105,2457,Brother 8157dn,3,1500
106,1007,Brother L5652dn,2,19992.1
107,5471,Brother 8157dn,2,1000
108,9785,HP MFP M225dw,3,2982.06
109,5071,HP P2055dn,1,500.08
110,4419,Brother 7065dn,3,2997.75
111,2856,Brother 8157dn,3,1500
112,8142,HP Pro M127fn,3,3012.45
113,574,HP 1015,2,1003.3
114,3604,Brother L5652dn,1,9996.05
115,6401,HP 1015,1,501.65
116,8240,HP P1606dn,1,250
117,9214,Brother 7065dn,3,2997.75
118,448,Kyocera M2040dn,2,1000
119,4940,HP Pro M127fn,3,3012.45
120,1118,Brother 8952dw,2,2009.48
121,9648,HP Pro M127fn,2,2008.3
122,2019,HP 1015,1,501.65
123,863,HP P1606dn,3,750
124,8444,HP P2055dn,2,1000.16
125,3130,Brother L5652dn,3,29988.149999999998
126,829,HP 1015,2,1003.3
127,8249,Brother 7065dn,1,999.25
128,7225,Brother 8157dn,1,500
129,4319,HP MFP M225dw,3,2982.06
130,5462,HP P2055dn,1,500.08
131,1623,Brother 8157dn,2,1000
132,650,HP MFP M225dw,1,994.02
133,23,HP Pro M127fn,2,2008.3
134,3393,Brother L5652dn,2,19992.1
135,3677,HP 1015,2,1003.3
136,9370,HP 400M425dn,2,2000
137,3213,Kyocera M2040dn,3,1500
138,1406,HP MFP M225dw,1,994.02
139,8277,HP Pro M127fn,1,1004.15
140,2335,Kyocera M2040dn,3,1500
141,3161,Brother 8952dw,3,3014.2200000000003
142,9629,HP P2055dn,1,500.08
143,9780,HP P2055dn,2,1000.16
144,2011,Brother 8157dn,1,500
145,7459,Brother 7065dn,3,2997.75
146,3816,HP P1606dn,3,750
147,8673,Brother 7065dn,1,999.25
148,7696,HP MFP M225dw,3,2982.06
149,5400,HP P2055dn,2,1000.16
150,751,Brother 8157dn,1,500
151,1415,Kyocera M2040dn,2,1000
152,1786,HP P2055dn,1,500.08
153,5118,HP 1015,2,1003.3
154,4925,Brother 8157dn,3,1500
155,5970,HP Pro M127fn,1,1004.15
156,7191,Brother 8157dn,2,1000
157,3536,Kyocera M2040dn,2,1000
158,4387,HP P2055dn,3,1500.24
159,4811,HP P2055dn,2,1000.16
160,4066,Brother L5652dn,3,29988.149999999998
161,9007,HP P2055dn,2,1000.16
162,5363,HP P2055dn,2,1000.16
163,6286,Brother 7065dn,1,999.25
164,7619,HP Pro M127fn,1,1004.15
165,866,HP P2055dn,2,1000.16
166,6657,Brother 8157dn,2,1000
167,3648,Brother L5652dn,3,29988.149999999998
168,6608,Brother 7065dn,1,999.25
169,5743,Brother 8157dn,2,1000
170,6567,Brother 8952dw,1,1004.74
171,9145,HP P2055dn,2,1000.16
172,6375,Kyocera M2040dn,2,1000
173,4213,Brother 8952dw,1,1004.74
174,1134,Kyocera M2040dn,2,1000
175,5244,Brother 7065dn,3,2997.75
176,3216,HP P2055dn,3,1500.24
177,2034,HP M1212nf,2,1995.26
178,8866,HP Pro M201dw,2,500
179,4933,Brother 7065dn,3,2997.75
180,7597,HP M1212nf,2,1995.26
181,6450,Kyocera M2040dn,1,500
182,8474,HP 1015,2,1003.3
183,8664,HP P2055dn,2,1000.16
184,685,HP M1212nf,2,1995.26
185,8521,Brother L5652dn,2,19992.1
186,6368,HP 1015,1,501.65
187,2812,Kyocera M2040dn,2,1000
188,4101,Brother L5652dn,3,29988.149999999998
189,6477,HP Pro M127fn,2,2008.3
190,610,Brother 7065dn,1,999.25
191,6656,Brother 8157dn,1,500
192,8630,HP M1212nf,1,997.63
193,5273,Brother 8157dn,1,500
194,9165,HP M1212nf,3,2992.89
195,5549,Brother 8157dn,2,1000
196,819,HP P2055dn,2,1000.16
197,2553,HP P2055dn,1,500.08
198,9519,Kyocera M2040dn,1,500
199,6738,HP M1212nf,1,997.63
200,6748,HP P2055dn,2,1000.16
201,2626,Brother L5652dn,1,9996.05
202,9134,HP P1606dn,3,750
203,7852,Brother 7065dn,2,1998.5
204,5316,Brother L5652dn,3,29988.149999999998
205,5884,HP Pro M127fn,3,3012.45
206,3382,HP P2055dn,3,1500.24
207,1061,Kyocera M2040dn,3,1500
208,2785,HP M1212nf,1,997.63
209,588,Kyocera M2040dn,2,1000
210,9574,Brother 7065dn,2,1998.5
211,6086,Brother 8157dn,2,1000
212,3322,HP Pro M127fn,1,1004.15
213,7987,Kyocera M2040dn,1,500
214,5682,Brother 8157dn,1,500
215,5795,Kyocera M2040dn,2,1000
216,5784,HP P2055dn,3,1500.24
217,3250,Brother 8952dw,3,3014.2200000000003
218,1318,HP P1606dn,1,250
219,8676,HP Pro M127fn,3,3012.45
220,824,Brother 8952dw,2,2009.48
221,6499,HP Pro M127fn,1,1004.15
222,9748,HP P2055dn,3,1500.24
223,9782,HP Pro M201dw,1,250
224,409,HP P2055dn,2,1000.16
225,2682,Brother L5652dn,3,29988.149999999998
226,7142,HP M1212nf,3,2992.89
227,7311,HP Pro M201dw,1,250
228,5674,HP P2055dn,1,500.08
229,2444,HP P2055dn,2,1000.16
230,4860,HP P2055dn,3,1500.24
231,4955,HP P2055dn,2,1000.16
232,9906,Brother 8952dw,2,2009.48
233,9292,HP P2055dn,3,1500.24
234,1146,HP Pro M127fn,3,3012.45
235,9470,HP M1212nf,2,1995.26
236,1906,Brother 8157dn,3,1500
237,7405,Brother 7065dn,2,1998.5
238,3883,Kyocera M2040dn,3,1500
239,3891,HP Pro M127fn,3,3012.45
240,7447,HP 400M425dn,3,3000
241,7886,HP Pro M127fn,2,2008.3
242,9362,HP 1015,1,501.65
243,5982,Brother 8157dn,2,1000
244,5146,HP Pro M201dw,2,500
245,9022,Brother 7065dn,2,1998.5
246,4632,Kyocera M2040dn,2,1000
247,9936,Brother 7065dn,1,999.25
248,5692,HP M1212nf,3,2992.89
249,5828,HP P2055dn,2,1000.16
250,1406,Brother L5652dn,2,19992.1
251,3035,Brother 8157dn,3,1500
252,5027,Brother 8952dw,1,1004.74
253,2210,Brother L5652dn,1,9996.05
254,4566,Brother 8157dn,3,1500
255,5926,Brother 8157dn,3,1500
256,9122,HP Pro M201dw,1,250
257,5611,HP M1212nf,1,997.63
258,5524,HP Pro M127fn,1,1004.15
259,3957,Brother 7065dn,1,999.25
260,6394,HP P2055dn,2,1000.16
261,8893,HP M1212nf,3,2992.89
262,4028,HP MFP M225dw,2,1988.04
263,6904,Brother 7065dn,1,999.25
264,9451,HP 1015,3,1504.9499999999998
265,2155,HP 1015,3,1504.9499999999998
266,5823,HP M1212nf,1,997.63
267,844,HP MFP M225dw,3,2982.06
268,467,HP P2055dn,1,500.08
269,2228,HP 400M425dn,2,2000
270,4028,Brother 8157dn,2,1000
271,5187,HP Pro M127fn,2,2008.3
272,2265,Brother L5652dn,1,9996.05
273,4657,HP MFP M225dw,3,2982.06
274,2200,HP 1015,2,1003.3
275,3505,HP P2055dn,3,1500.24
276,9808,Brother L5652dn,2,19992.1
277,1901,HP 1015,1,501.65
278,7412,Brother 7065dn,2,1998.5
279,5145,Brother 8157dn,3,1500
280,4784,HP P2055dn,1,500.08
281,1918,HP M1212nf,1,997.63
282,8857,Brother 8157dn,2,1000
283,1519,HP MFP M225dw,2,1988.04
284,7716,Brother 7065dn,2,1998.5
285,2097,Brother 8952dw,2,2009.48
286,6274,HP P2055dn,3,1500.24
287,987,Brother 8952dw,3,3014.2200000000003
288,4929,HP 1015,2,1003.3
289,9001,Brother 7065dn,2,1998.5
290,9714,HP M1212nf,2,1995.26
291,1904,Brother 8157dn,1,500
292,6603,HP P1606dn,3,750
293,6721,Brother 8157dn,3,1500
294,8614,HP M1212nf,1,997.63
295,5039,Brother 8157dn,2,1000
296,7674,Brother 8157dn,1,500
297,9004,Brother L5652dn,1,9996.05
298,7775,Kyocera M2040dn,2,1000
299,4939,Brother 7065dn,1,999.25
300,1581,HP M1212nf,1,997.63
301,7747,HP 400M425dn,2,2000
302,8550,HP Pro M127fn,1,1004.15
303,4148,Brother 7065dn,1,999.25
304,2251,Brother 8952dw,2,2009.48
305,3745,Brother 8952dw,1,1004.74
306,6450,HP M1212nf,2,1995.26
307,8522,Kyocera M2040dn,1,500
308,5142,HP M1212nf,3,2992.89
309,6573,HP Pro M127fn,3,3012.45
310,1816,HP P2055dn,1,500.08
311,9295,HP Pro M127fn,2,2008.3
312,640,Brother 8157dn,1,500
313,5773,HP 1015,1,501.65
314,345,Kyocera M2040dn,3,1500
315,1479,Brother 8157dn,3,1500
316,6814,Brother 8952dw,3,3014.2200000000003
317,2837,HP P2055dn,1,500.08
318,8657,HP Pro M201dw,2,500
319,9963,Brother L5652dn,3,29988.149999999998
320,7119,Brother 7065dn,1,999.25
321,9383,HP Pro M127fn,3,3012.45
322,6686,Kyocera M2040dn,3,1500
323,512,Brother 7065dn,2,1998.5
324,3593,HP Pro M127fn,3,3012.45
325,6645,Brother 8157dn,2,1000
326,4381,Brother 8157dn,3,1500
327,8607,HP P1606dn,3,750
328,6199,HP 400M425dn,1,1000
329,4413,Brother 8952dw,3,3014.2200000000003
330,6800,HP Pro M201dw,3,750
331,3719,HP 400M425dn,1,1000
332,9664,HP M1212nf,1,997.63
333,4807,Brother L5652dn,3,29988.149999999998
334,9228,Brother L5652dn,1,9996.05
335,4329,Brother L5652dn,3,29988.149999999998
336,6856,HP P2055dn,3,1500.24
337,845,HP MFP M225dw,1,994.02
338,6746,HP P2055dn,3,1500.24
339,7946,HP 400M425dn,2,2000
340,5797,HP 400M425dn,2,2000
341,8037,HP 1015,3,1504.9499999999998
342,3356,HP M1212nf,2,1995.26
343,1806,Kyocera M2040dn,2,1000
344,8544,Brother 8157dn,3,1500
345,9488,HP P2055dn,2,1000.16
346,3955,HP 1015,1,501.65
347,4491,Kyocera M2040dn,3,1500
348,442,HP 400M425dn,3,3000
349,9527,HP M1212nf,1,997.63
350,5676,Brother 8157dn,1,500
351,3395,HP M1212nf,2,1995.26
352,6562,HP M1212nf,3,2992.89
353,1164,HP Pro M201dw,3,750
354,2968,HP P2055dn,2,1000.16
355,853,HP Pro M127fn,1,1004.15
356,3491,HP Pro M201dw,1,250
357,7529,Brother L5652dn,1,9996.05
358,4573,HP M1212nf,1,997.63
359,2156,HP Pro M201dw,3,750
360,2546,HP P2055dn,3,1500.24
361,2412,HP 1015,1,501.65
362,4960,Brother 7065dn,1,999.25
363,6742,HP Pro M127fn,3,3012.45
364,7023,HP 1015,1,501.65
365,5427,HP M1212nf,3,2992.89
366,1831,HP P2055dn,2,1000.16
367,9230,HP M1212nf,2,1995.26
368,8534,Brother L5652dn,2,19992.1
369,884,HP P2055dn,2,1000.16
370,7418,Brother 7065dn,3,2997.75
371,105,Brother 8952dw,3,3014.2200000000003
372,904,HP MFP M225dw,1,994.02
373,8203,Brother 8157dn,2,1000
374,2064,HP 1015,1,501.65
375,3602,Brother 8157dn,1,500
376,899,HP M1212nf,2,1995.26
377,1774,Brother L5652dn,3,29988.149999999998
378,3106,HP P2055dn,3,1500.24
379,155,HP P2055dn,1,500.08
380,2489,HP 400M425dn,3,3000
381,7795,Brother 7065dn,3,2997.75
382,4644,Brother 7065dn,3,2997.75
383,390,HP P2055dn,3,1500.24
384,1639,Brother 8952dw,1,1004.74
385,9299,HP M1212nf,1,997.63
386,216,HP P2055dn,1,500.08
387,1870,HP 400M425dn,2,2000
388,446,HP Pro M127fn,3,3012.45
389,1235,Brother 7065dn,3,2997.75
390,7211,HP Pro M201dw,2,500
391,2659,HP P2055dn,3,1500.24
392,202,Brother 7065dn,3,2997.75
393,5428,HP M1212nf,3,2992.89
394,5330,HP P1606dn,3,750
395,6597,Brother 8952dw,1,1004.74
396,7146,Brother L5652dn,1,9996.05
397,4134,HP P2055dn,2,1000.16
398,549,HP M1212nf,2,1995.26
399,9386,HP M1212nf,3,2992.89
400,41,Brother 7065dn,2,1998.5
401,7926,HP Pro M127fn,2,2008.3
402,1094,HP P1606dn,1,250
403,3647,HP Pro M127fn,2,2008.3
404,5273,Brother 8157dn,1,500
405,8596,HP P1606dn,2,500
406,4404,HP P1606dn,1,250
407,1827,HP P1606dn,1,250
408,2766,Kyocera M2040dn,3,1500
409,7256,Brother 8157dn,3,1500
410,7371,Brother 8157dn,1,500
411,3458,Brother 7065dn,3,2997.75
412,9383,Brother L5652dn,1,9996.05
413,3044,Brother 7065dn,1,999.25
414,3046,Brother 7065dn,2,1998.5
415,9522,HP 400M425dn,1,1000
416,5853,HP M1212nf,3,2992.89
417,8513,HP MFP M225dw,1,994.02
418,4029,HP P2055dn,2,1000.16
419,2614,HP Pro M201dw,1,250
420,4139,Kyocera M2040dn,3,1500
421,4596,HP P2055dn,1,500.08
422,1760,HP P1606dn,2,500
423,8090,HP MFP M225dw,2,1988.04
424,2563,Brother 8157dn,2,1000
425,8404,HP P2055dn,3,1500.24
426,1643,Brother 8157dn,1,500
427,1653,HP P2055dn,1,500.08
428,7850,Brother 7065dn,3,2997.75
429,3104,Brother L5652dn,1,9996.05
430,3881,Brother 8157dn,2,1000
431,9673,Brother 7065dn,3,2997.75
432,1072,Brother 8157dn,1,500
433,2437,HP Pro M201dw,2,500
434,6180,Brother 8952dw,2,2009.48
435,6024,HP 1015,2,1003.3
436,7190,Brother 7065dn,2,1998.5
437,1908,Kyocera M2040dn,2,1000
438,481,HP P2055dn,1,500.08
439,9772,Brother 8952dw,2,2009.48
440,4975,HP P2055dn,3,1500.24
441,8009,HP P2055dn,2,1000.16
442,768,Brother 8952dw,2,2009.48
443,56,Kyocera M2040dn,3,1500
444,5652,Brother L5652dn,2,19992.1
445,9975,Brother 7065dn,1,999.25
446,3209,Kyocera M2040dn,2,1000
447,860,Kyocera M2040dn,3,1500
448,2739,HP M1212nf,3,2992.89
449,421,HP 1015,2,1003.3
450,6524,Brother L5652dn,2,19992.1
451,9386,HP P2055dn,1,500.08
452,111,HP P1606dn,3,750
453,4794,HP P1606dn,1,250
454,3031,HP P1606dn,2,500
455,4810,HP P1606dn,2,500
456,7834,HP P2055dn,3,1500.24
457,7015,Brother 8952dw,1,1004.74
458,5196,Brother 8157dn,1,500
459,3851,HP Pro M201dw,2,500
460,9349,Brother L5652dn,3,29988.149999999998
461,4316,Brother 8952dw,1,1004.74
462,7808,HP M1212nf,1,997.63
463,2586,Brother L5652dn,2,19992.1
464,1798,Brother 7065dn,3,2997.75
465,3738,Brother 8952dw,3,3014.2200000000003
466,3516,HP MFP M225dw,3,2982.06
467,697,Brother 8952dw,1,1004.74
468,1717,HP 400M425dn,2,2000
469,4353,HP M1212nf,3,2992.89
470,9434,Brother 7065dn,2,1998.5
471,6281,HP P2055dn,3,1500.24
472,7500,Brother 8952dw,3,3014.2200000000003
473,2658,HP 1015,1,501.65
474,2539,Kyocera M2040dn,3,1500
475,1603,HP 400M425dn,1,1000
476,5439,Brother 8157dn,3,1500
477,7508,Brother 8157dn,3,1500
478,3444,Brother L5652dn,3,29988.149999999998
479,6544,HP Pro M127fn,1,1004.15
480,2232,HP 400M425dn,3,3000
481,1204,Brother 7065dn,2,1998.5
482,6244,HP 400M425dn,2,2000
483,1480,Brother 8157dn,3,1500
484,6736,Brother 8952dw,2,2009.48
485,7815,HP P2055dn,3,1500.24
486,6818,HP M1212nf,2,1995.26
487,9678,HP P2055dn,1,500.08
488,7544,Kyocera M2040dn,2,1000
489,5032,HP P1606dn,2,500
490,3675,HP Pro M201dw,3,750
491,6888,Brother 8157dn,2,1000
492,6848,Brother L5652dn,3,29988.149999999998
493,4740,HP 400M425dn,1,1000
494,6778,Kyocera M2040dn,2,1000
495,9087,Kyocera M2040dn,1,500
496,2086,Brother 7065dn,3,2997.75
497,5670,Brother 8952dw,1,1004.74
498,9,Kyocera M2040dn,2,1000
499,3968,HP P2055dn,3,1500.24
500,5834,HP P1606dn,3,750
501,3140,Brother L5652dn,1,9996.05
502,9417,HP Pro M127fn,3,3012.45
503,8782,Brother 8157dn,1,500
504,4262,HP MFP M225dw,2,1988.04
505,633,HP Pro M127fn,2,2008.3
506,318,HP Pro M127fn,2,2008.3
507,9759,HP M1212nf,1,997.63
508,3007,HP P1606dn,2,500
509,6935,Brother 8952dw,1,1004.74
510,2171,HP Pro M201dw,2,500
511,4802,Brother 8157dn,1,500
512,4955,Brother 7065dn,2,1998.5
513,8698,Brother 7065dn,2,1998.5
514,6818,HP P2055dn,1,500.08
515,3273,Brother 8157dn,3,1500
516,9944,HP 1015,2,1003.3
517,8144,Brother 8952dw,3,3014.2200000000003
518,8161,HP P2055dn,1,500.08
519,9032,Brother 8157dn,2,1000
520,2739,Brother 7065dn,3,2997.75
521,42,Brother 8952dw,2,2009.48
522,5093,Brother L5652dn,1,9996.05
523,9020,HP MFP M225dw,3,2982.06
524,9712,HP M1212nf,2,1995.26
525,8367,HP Pro M201dw,1,250
526,2714,HP P2055dn,1,500.08
527,8701,Brother 8157dn,2,1000
528,7751,HP M1212nf,2,1995.26
529,275,HP M1212nf,1,997.63
530,2818,Brother 8157dn,2,1000
531,8325,HP MFP M225dw,2,1988.04
532,9859,HP P2055dn,2,1000.16
533,5849,Brother 8157dn,1,500
534,3500,Brother 8157dn,1,500
535,6874,Brother L5652dn,3,29988.149999999998
536,5999,HP P2055dn,3,1500.24
537,6301,HP 400M425dn,2,2000
538,2143,Kyocera M2040dn,3,1500
539,8390,HP P1606dn,1,250
540,4061,HP P2055dn,2,1000.16
541,3106,HP 1015,1,501.65
542,9778,Brother 8157dn,3,1500
543,4900,HP Pro M127fn,3,3012.45
544,9498,HP M1212nf,2,1995.26
545,3769,HP MFP M225dw,1,994.02
546,7473,HP 400M425dn,3,3000
547,5096,HP P2055dn,3,1500.24
548,9091,HP M1212nf,1,997.63
549,914,Brother 7065dn,2,1998.5
550,9194,HP M1212nf,3,2992.89
551,998,HP P2055dn,1,500.08
552,4102,HP MFP M225dw,2,1988.04
553,4055,Brother L5652dn,2,19992.1
554,4028,Brother L5652dn,2,19992.1
555,7710,HP P2055dn,1,500.08
556,8965,Brother 8952dw,3,3014.2200000000003
557,2795,HP P2055dn,2,1000.16
558,2537,Brother L5652dn,3,29988.149999999998
559,5204,Brother L5652dn,2,19992.1
560,3781,HP Pro M127fn,3,3012.45
561,8153,HP MFP M225dw,1,994.02
562,637,HP MFP M225dw,1,994.02
563,6322,HP Pro M127fn,1,1004.15
564,5115,Brother L5652dn,3,29988.149999999998
565,2470,Brother L5652dn,1,9996.05
566,5211,Brother 7065dn,3,2997.75
567,5516,HP P1606dn,3,750
568,3001,HP P2055dn,3,1500.24
569,5324,Brother 7065dn,3,2997.75
570,7792,Brother 8952dw,2,2009.48
571,1103,HP P2055dn,3,1500.24
572,5795,Brother 8952dw,1,1004.74
573,831,Brother 8157dn,1,500
574,5334,HP MFP M225dw,1,994.02
575,5122,HP 1015,3,1504.9499999999998
576,6351,HP P1606dn,1,250
577,1492,Brother 7065dn,3,2997.75
578,9121,Brother L5652dn,2,19992.1
579,7697,Brother 8157dn,1,500
580,8716,HP Pro M127fn,2,2008.3
581,8992,HP Pro M127fn,2,2008.3
582,8133,Kyocera M2040dn,1,500
583,4356,Brother L5652dn,1,9996.05
584,147,HP 1015,3,1504.9499999999998
585,7144,Kyocera M2040dn,3,1500
586,5931,HP M1212nf,1,997.63
587,7508,Brother 8157dn,2,1000
588,2016,HP 1015,1,501.65
589,5355,HP P2055dn,2,1000.16
590,3658,Brother 8952dw,3,3014.2200000000003
591,1810,HP Pro M127fn,2,2008.3
592,8833,HP MFP M225dw,2,1988.04
593,3752,Brother 8952dw,1,1004.74
594,2524,Brother 7065dn,2,1998.5
595,9823,HP P2055dn,3,1500.24
596,157,Brother 8952dw,3,3014.2200000000003
597,9282,HP M1212nf,3,2992.89
598,2405,HP P2055dn,2,1000.16
599,2028,HP M1212nf,3,2992.89
600,8549,HP Pro M127fn,2,2008.3
601,5528,HP 1015,3,1504.9499999999998
602,206,HP P2055dn,2,1000.16
603,4299,Brother 7065dn,3,2997.75
604,3312,HP Pro M201dw,1,250
605,2577,HP Pro M201dw,1,250
606,3875,Brother 8952dw,2,2009.48
607,1100,HP M1212nf,3,2992.89
608,6664,HP M1212nf,3,2992.89
609,1101,HP P2055dn,3,1500.24
610,7382,HP Pro M127fn,3,3012.45
611,323,Brother L5652dn,2,19992.1
612,7941,Brother 7065dn,3,2997.75
613,73,HP P1606dn,1,250
614,5208,Brother 8157dn,1,500
615,7334,HP Pro M127fn,1,1004.15
616,6118,Brother 8157dn,2,1000
617,5239,HP P2055dn,3,1500.24
618,5604,Brother 7065dn,1,999.25
619,4079,Kyocera M2040dn,1,500
620,8221,Brother 8157dn,2,1000
621,2496,HP P2055dn,3,1500.24
622,7788,HP Pro M127fn,3,3012.45
623,8451,Brother 8952dw,2,2009.48
624,206,HP M1212nf,2,1995.26
625,8872,HP Pro M127fn,1,1004.15
626,1699,Brother 7065dn,3,2997.75
627,6584,HP Pro M201dw,3,750
628,3512,Brother 7065dn,2,1998.5
629,8568,HP M1212nf,2,1995.26
630,6660,HP M1212nf,1,997.63
631,9577,HP P2055dn,3,1500.24
632,61,HP M1212nf,1,997.63
633,8214,HP P2055dn,3,1500.24
634,2228,Brother 7065dn,3,2997.75
635,6248,HP P2055dn,2,1000.16
636,8419,Brother 8952dw,3,3014.2200000000003
637,4050,HP P2055dn,3,1500.24
638,6796,Brother 8157dn,1,500
639,6598,HP P1606dn,1,250
640,8355,Brother L5652dn,3,29988.149999999998
641,3115,Brother 8952dw,1,1004.74
642,9079,HP M1212nf,1,997.63
643,9480,Brother 8157dn,2,1000
644,5494,HP 1015,3,1504.9499999999998
645,2689,Brother 8157dn,1,500
646,7449,HP Pro M127fn,3,3012.45
647,3575,HP MFP M225dw,2,1988.04
648,9625,HP Pro M127fn,1,1004.15
649,884,Brother 8952dw,2,2009.48
650,4694,HP P2055dn,3,1500.24
651,4156,Brother 7065dn,3,2997.75
652,2763,Brother 8157dn,3,1500
653,1281,Brother 8157dn,2,1000
654,3474,Brother 8157dn,2,1000
655,6288,HP 1015,2,1003.3
656,300,HP M1212nf,3,2992.89
657,5497,HP P2055dn,2,1000.16
658,8654,Kyocera M2040dn,3,1500
659,6536,HP Pro M201dw,1,250
660,4976,HP Pro M127fn,1,1004.15
661,8366,HP MFP M225dw,1,994.02
662,8864,HP P2055dn,1,500.08
663,9015,Brother 8157dn,2,1000
664,4881,HP MFP M225dw,1,994.02
665,3641,Brother L5652dn,3,29988.149999999998
666,8234,Brother L5652dn,2,19992.1
667,4624,HP Pro M127fn,1,1004.15
668,8301,Brother 8157dn,1,500
669,6600,HP P1606dn,3,750
670,9040,Brother 8952dw,2,2009.48
671,1440,Brother 8157dn,3,1500
672,9704,HP P2055dn,3,1500.24
673,4595,Brother 8952dw,3,3014.2200000000003
674,2188,HP P1606dn,2,500
675,6035,HP P2055dn,3,1500.24
676,8315,HP Pro M127fn,2,2008.3
677,3082,HP P2055dn,3,1500.24
678,889,HP 1015,2,1003.3
679,777,HP P1606dn,3,750
680,8095,HP M1212nf,1,997.63
681,8724,Brother L5652dn,2,19992.1
682,5748,Brother 7065dn,2,1998.5
683,6254,HP 400M425dn,2,2000
684,611,HP Pro M127fn,2,2008.3
685,1170,HP 1015,2,1003.3
686,4538,Kyocera M2040dn,3,1500
687,7833,HP MFP M225dw,2,1988.04
688,4102,HP P2055dn,2,1000.16
689,7679,HP P2055dn,3,1500.24
690,7252,Brother 7065dn,2,1998.5
691,5061,HP Pro M127fn,1,1004.15
692,9750,HP 1015,1,501.65
